on_base_percentage,slugging_percentage,war,ln_on_base_percentage,ln_slugging_percentage,ln_war
0.333,0.268,0.84,-1.099612789,-1.316768298,-0.174353387
0.315,0.338,1.01,-1.15518264,-1.084709383,0.009950331
0.34,0.31,1.38,-1.078809661,-1.171182982,0.322083499
0.327,0.346,1.26,-1.117795108,-1.061316504,0.231111721
0.328,0.34,1.96,-1.114741671,-1.078809661,0.672944473
0.315,0.357,2.03,-1.15518264,-1.030019497,0.708035793
0.324,0.362,1.55,-1.127011763,-1.016111067,0.438254931
0.33,0.378,1.85,-1.108662625,-0.972861083,0.615185639
0.348,0.359,1.92,-1.055552799,-1.02443289,0.652325186
0.353,0.339,2.29,-1.041287222,-1.081755172,0.828551818
0.317,0.388,1.66,-1.148853505,-0.946749939,0.506817602
0.343,0.331,0.83,-1.070024832,-1.105636904,-0.186329578
0.326,0.371,2.08,-1.120857898,-0.991553216,0.732367894
0.31,0.432,1.62,-1.171182982,-0.839329691,0.482426149
0.347,0.366,2.8,-1.058430499,-1.005121946,1.029619417
0.356,0.385,1.88,-1.032824548,-0.954511945,0.631271777
0.356,0.378,3.69,-1.032824548,-0.972861083,1.305626458
0.339,0.425,2.44,-1.081755172,-0.85566611,0.891998039
0.375,0.371,3.89,-0.980829253,-0.991553216,1.358409158
0.382,0.359,2.59,-0.96233467,-1.02443289,0.951657876
0.364,0.383,1.69,-1.010601411,-0.95972029,0.524728529
0.351,0.422,3.35,-1.046969056,-0.862749965,1.208960346
0.334,0.443,3.41,-1.096614286,-0.814185509,1.226712291
0.351,0.428,2.64,-1.046969056,-0.848632083,0.970778917
0.374,0.4,2.85,-0.983499482,-0.916290732,1.047318994
0.366,0.413,3.18,-1.005121946,-0.884307686,1.156881197
0.372,0.396,3.89,-0.988861425,-0.926341068,1.358409158
0.392,0.372,2.98,-0.936493439,-0.988861425,1.091923301
0.357,0.443,2.39,-1.030019497,-0.814185509,0.871293366
0.377,0.395,1.96,-0.975510092,-0.928869514,0.672944473
0.332,0.454,2.65,-1.10262031,-0.789658081,0.97455964
0.381,0.405,4.05,-0.964955904,-0.903868212,1.398716881
0.366,0.445,3.8,-1.005121946,-0.809680997,1.335001067
0.344,0.463,4.58,-1.067113622,-0.770028225,1.521698998
0.36,0.455,3.48,-1.021651248,-0.78745786,1.247032294
0.357,0.456,3.28,-1.030019497,-0.785262469,1.187843422
0.377,0.448,4.13,-0.975510092,-0.802962047,1.418277407
0.345,0.474,3.04,-1.064210862,-0.746547957,1.111857515
0.393,0.443,4.39,-0.933945667,-0.814185509,1.479329227
0.385,0.461,4.12,-0.954511945,-0.774357236,1.415853163
0.381,0.471,3.6,-0.964955904,-0.752897185,1.280933845
0.396,0.446,6.19,-0.926341068,-0.807436327,1.822935087
0.397,0.48,4.25,-0.923818998,-0.733969175,1.446918983
0.397,0.475,5.4,-0.923818998,-0.744440475,1.686398954
0.444,0.412,5.17,-0.811930717,-0.88673193,1.642872689
0.407,0.494,4.78,-0.898942094,-0.705219762,1.564440547
0.4,0.487,3.68,-0.916290732,-0.719491156,1.302912752
0.376,0.517,5.22,-0.978166136,-0.659712404,1.652497402
0.388,0.548,5.78,-0.946749939,-0.601479992,1.754403683
0.388,0.541,6.93,-0.946749939,-0.614336,1.935859813
