"","war","hits_game","doubles_game","triples_game","homeruns_game","basehits_game","rbi_game","stolen_game","caught_game","bb_game","hp_game","ln_war","ln_hits_game","ln_doubles_game","ln_triples_game","ln_homeruns_game","ln_basehits_game","ln_rbi_game","ln_stolen_game","ln_caught_game","ln_bb_game","ln_hp_game"
"1",0.84,0.704918033,0.098360656,0,0.016393443,0.852459016,0.245901639,0.049180328,0.024590164,0.508196721,0.024590164,-0.174353387,-0.349673748,-2.319114395,0,-4.110873864,-0.159630146,-1.402823663,-3.012261576,-3.705408756,-0.67688666,-3.705408756
"2",1.01,0.790697674,0.186046512,0,0.023255814,1.046511628,0.302325581,0.124031008,0.023255814,0.240310078,0.046511628,0.009950331,-0.234839591,-1.681758574,0,-3.761200116,0.045462374,-1.196250758,-2.087223682,-3.761200116,-1.4258252,-3.068052935
"3",1.38,0.924242424,0.083333333,0.007575758,0.015151515,1.068181818,0.340909091,0.196969697,0.015151515,0.348484848,0.045454545,0.322083499,-0.078780878,-2.48490665,-4.882801923,-4.189654742,0.065957968,-1.076139433,-1.624705385,-4.189654742,-1.054160526,-3.091042453
"4",1.26,1.091743119,0.091743119,0.055045872,0.027522936,1.376146789,0.422018349,0.04587156,0.04587156,0.275229358,0.04587156,0.231111721,0.087775611,-2.388762789,-2.899588413,-3.592735594,0.319287412,-0.862706486,-3.08190997,-3.08190997,-1.290150501,-3.08190997
"5",1.96,0.74015748,0.070866142,0.015748031,0.078740157,1.078740157,0.42519685,0.118110236,0.023622047,0.346456693,0.118110236,0.672944473,-0.300892304,-2.646962509,-4.151039906,-2.541601993,0.075793839,-0.85520304,-2.136136885,-3.745574798,-1.059997453,-2.136136885
"6",2.03,1.05982906,0.162393162,0.068376068,0.017094017,1.41025641,0.256410256,0.179487179,0.017094017,0.247863248,0.025641026,0.708035793,0.058107631,-1.817734956,-2.682732393,-4.069026754,0.343771539,-1.360976553,-1.717651497,-4.069026754,-1.394878105,-3.663561646
"7",1.55,0.832116788,0.160583942,0.01459854,0.03649635,1.131386861,0.357664234,0.03649635,0.00729927,0.240875912,0.04379562,0.438254931,-0.183782477,-1.828938472,-4.226833745,-3.310543013,0.123444191,-1.028160628,-3.310543013,-4.919980926,-1.423473364,-3.128221457
"8",1.85,0.797202797,0.132867133,0.013986014,0.083916084,1.20979021,0.41958042,0.034965035,0.027972028,0.363636364,0.041958042,0.615185639,-0.226646182,-2.018405651,-4.26969745,-2.47793798,0.190446964,-0.868500068,-3.353406718,-3.576550269,-1.011600912,-3.171085161
"9",1.92,0.958333333,0.097222222,0.013888889,0.041666667,1.208333333,0.409722222,0.180555556,0.083333333,0.3125,0.020833333,0.652325186,-0.042559614,-2.33075597,-4.276666119,-3.17805383,0.189242,-0.892275856,-1.711716762,-2.48490665,-1.16315081,-3.871201011
"10",2.29,0.930232558,0.147286822,0.007751938,0.023255814,1.162790698,0.434108527,0.03875969,0.046511628,0.426356589,0.023255814,0.828551818,-0.072320662,-1.915373425,-4.859812404,-3.761200116,0.15082289,-0.834460714,-3.250374492,-3.068052935,-0.852479219,-3.761200116
"11",1.66,0.874015748,0.141732283,0.047244094,0.05511811,1.275590551,0.464566929,0.102362205,0.047244094,0.212598425,0.047244094,0.506817602,-0.134656885,-1.953815329,-3.052427617,-2.898276937,0.243409249,-0.766649643,-2.279237729,-3.052427617,-1.54835022,-3.052427617
"12",0.83,0.674242424,0.113636364,0,0.075757576,1.015151515,0.348484848,0.022727273,0.007575758,0.545454545,0.037878788,-0.186329578,-0.394165553,-2.174751721,0,-2.58021683,0.015037877,-1.054160526,-3.784189634,-4.882801923,-0.606135804,-3.27336401
"13",2.08,0.876923077,0.169230769,0.007692308,0.053846154,1.223076923,0.369230769,0.069230769,0.023076923,0.269230769,0.046153846,0.732367894,-0.131336002,-1.776491997,-4.86753445,-2.921624301,0.201369752,-0.99633344,-2.670309873,-3.768922162,-1.312186389,-3.075774981
"14",1.62,0.746268657,0.179104478,0,0.149253731,1.373134328,0.470149254,0,0,0.320895522,0.037313433,0.482426149,-0.292669614,-1.71978597,0,-1.902107526,0.317095958,-0.754705074,0,0,-1.136639684,-3.288401888
"15",2.8,0.953125,0.1484375,0,0.0703125,1.3125,0.3671875,0.03125,0.0078125,0.453125,0.0078125,1.029619417,-0.048009219,-1.907591285,0,-2.654805687,0.271933715,-1.001882662,-3.465735903,-4.852030264,-0.791587253,-4.852030264
"16",1.88,1.044247788,0.17699115,0.026548673,0.026548673,1.353982301,0.362831858,0.097345133,0.03539823,0.318584071,0.026548673,0.631271777,0.043296806,-1.731655545,-3.62877553,-3.62877553,0.303050103,-1.013815752,-2.329492546,-3.341093458,-1.14386888,-3.62877553
"17",3.69,1.046153846,0.138461538,0.030769231,0.023076923,1.315384615,0.4,0.230769231,0.061538462,0.307692308,0.015384615,1.305626458,0.045120435,-1.977162693,-3.481240089,-3.768922162,0.274129106,-0.916290732,-1.466337069,-2.788092909,-1.178654996,-4.17438727
"18",2.44,1.143884892,0.201438849,0.007194245,0.115107914,1.705035971,0.575539568,0.043165468,0.028776978,0.302158273,0.028776978,0.891998039,0.134430269,-1.602269423,-4.934473933,-2.161885211,0.533586208,-0.552447298,-3.142714464,-3.548179572,-1.196804315,-3.548179572
"19",3.89,1.04379562,0.102189781,0.080291971,0.01459854,1.350364964,0.240875912,0.284671533,0.058394161,0.467153285,0.051094891,1.358409158,0.042863704,-2.280923596,-2.522085653,-4.226833745,0.300374899,-1.423473364,-1.25641928,-2.840539384,-0.761097842,-2.974070777
"20",2.59,1.12605042,0.134453782,0,0,1.260504202,0.403361345,0.025210084,0.008403361,0.319327731,0.042016807,0.951657876,0.118716307,-2.006534771,0,0,0.231511801,-0.907922482,-3.680511204,-4.779123493,-1.141537333,-3.169685581
"21",1.69,1.07518797,0.165413534,0.015037594,0.045112782,1.406015038,0.661654135,0.015037594,0.007518797,0.436090226,0.007518797,0.524728529,0.072495502,-1.799306675,-4.197201948,-3.098589659,0.340759489,-0.413012314,-4.197201948,-4.890349128,-0.829906118,-4.890349128
"22",3.35,0.900763359,0.167938931,0,0.083969466,1.320610687,0.496183206,0.007633588,0.007633588,0.320610687,0.015267176,1.208960346,-0.104512699,-1.78415487,0,-2.47730205,0.278094271,-0.700810053,-4.875197323,-4.875197323,-1.137527705,-4.182050143
"23",3.41,0.784615385,0.130769231,0.007692308,0.153846154,1.392307692,0.576923077,0,0.007692308,0.376923077,0.053846154,1.226712291,-0.242561637,-2.034321106,-4.86753445,-1.871802177,0.330962581,-0.550046337,0,-4.86753445,-0.975714152,-2.921624301
"24",2.64,1,0.124087591,0,0.167883212,1.627737226,0.613138686,0,0,0.379562044,0.145985401,0.970778917,0,-2.086767582,0,-1.78448671,0.487190846,-0.489164127,0,0,-0.968737207,-1.924248652
"25",2.85,1.024793388,0.165289256,0.008264463,0.066115702,1.404958678,0.520661157,0.024793388,0.024793388,0.404958678,0.082644628,1.047318994,0.02449102,-1.800058272,-4.795790546,-2.716349004,0.340007891,-0.652655819,-3.697178257,-3.697178257,-0.903970247,-2.493205453
