war,ln_war,hits_plate,doubles_plate,triples_plate,homeruns_plate,stolen_plate,caught_plate,bb_plate,hp_plate,strikeouts_plate
0.84,-0.174353387,0.187363834,0.026143791,0,0.004357298,0.013071895,0.006535948,0.135076253,0.006535948,0.159041394
1.01,0.009950331,0.224669604,0.052863436,0,0.00660793,0.035242291,0.00660793,0.068281938,0.013215859,0.246696035
1.38,0.322083499,0.233716475,0.021072797,0.001915709,0.003831418,0.049808429,0.003831418,0.088122605,0.011494253,0.139846743
1.26,0.231111721,0.248434238,0.020876827,0.012526096,0.006263048,0.010438413,0.010438413,0.06263048,0.010438413,0.175365344
1.96,0.672944473,0.198312236,0.018987342,0.004219409,0.021097046,0.03164557,0.006329114,0.092827004,0.03164557,0.223628692
2.03,0.708035793,0.246520875,0.03777336,0.015904573,0.003976143,0.041749503,0.003976143,0.057654076,0.005964215,0.099403579
1.55,0.438254931,0.237006237,0.045738046,0.004158004,0.01039501,0.01039501,0.002079002,0.068607069,0.012474012,0.174636175
1.85,0.615185639,0.211895911,0.035315985,0.003717472,0.022304833,0.00929368,0.007434944,0.096654275,0.011152416,0.165427509
1.92,0.652325186,0.247311828,0.025089606,0.003584229,0.010752688,0.046594982,0.021505376,0.080645161,0.005376344,0.132616487
2.29,0.828551818,0.234375,0.037109375,0.001953125,0.005859375,0.009765625,0.01171875,0.107421875,0.005859375,0.1328125
1.66,0.506817602,0.242358079,0.03930131,0.013100437,0.015283843,0.028384279,0.013100437,0.058951965,0.013100437,0.237991266
0.83,-0.186329578,0.183884298,0.030991736,0,0.020661157,0.006198347,0.002066116,0.148760331,0.010330579,0.20661157
2.08,0.732367894,0.24,0.046315789,0.002105263,0.014736842,0.018947368,0.006315789,0.073684211,0.012631579,0.054736842
1.62,0.482426149,0.209205021,0.050209205,0,0.041841004,0,0,0.089958159,0.010460251,0.19665272
2.8,1.029619417,0.230623819,0.035916824,0,0.017013233,0.007561437,0.001890359,0.109640832,0.001890359,0.105860113
1.88,0.631271777,0.263392857,0.044642857,0.006696429,0.006696429,0.024553571,0.008928571,0.080357143,0.006696429,0.107142857
3.69,1.305626458,0.268244576,0.035502959,0.007889546,0.00591716,0.059171598,0.015779093,0.078895464,0.003944773,0.110453649
2.44,0.891998039,0.262809917,0.046280992,0.001652893,0.026446281,0.009917355,0.00661157,0.069421488,0.00661157,0.114049587
3.89,1.358409158,0.245283019,0.024013722,0.018867925,0.003430532,0.066895369,0.013722127,0.109777015,0.012006861,0.10806175
2.59,0.951657876,0.283898305,0.033898305,0,0,0.006355932,0.002118644,0.080508475,0.01059322,0.055084746
1.69,0.524728529,0.257194245,0.039568345,0.003597122,0.010791367,0.003597122,0.001798561,0.104316547,0.001798561,0.095323741
3.35,1.208960346,0.254310345,0.047413793,0,0.023706897,0.002155172,0.002155172,0.090517241,0.004310345,0.150862069
3.41,1.226712291,0.212058212,0.035343035,0.002079002,0.041580042,0,0.002079002,0.101871102,0.014553015,0.187110187
2.64,0.970778917,0.229865772,0.02852349,0,0.038590604,0,0,0.087248322,0.033557047,0.17114094
2.85,1.047318994,0.251012146,0.04048583,0.002024291,0.016194332,0.006072874,0.006072874,0.099190283,0.020242915,0.107287449
3.18,1.156881197,0.262582057,0.056892779,0.004376368,0.013129103,0.006564551,0.006564551,0.098468271,0.002188184,0.140043764
3.89,1.358409158,0.225099602,0.047808765,0.005976096,0.015936255,0.03187251,0.013944223,0.12749004,0.015936255,0.163346614
2.98,1.091923301,0.247191011,0.039325843,0.007490637,0.003745318,0.04494382,0.026217228,0.125468165,0.014981273,0.063670412
2.39,0.871293366,0.247464503,0.030425963,0,0.036511156,0.004056795,0,0.093306288,0.016227181,0.231237323
1.96,0.672944473,0.207792208,0.036796537,0.002164502,0.025974026,0.012987013,0.008658009,0.140692641,0.028138528,0.170995671
2.65,0.97455964,0.253012048,0.048192771,0,0.036144578,0.006884682,0,0.068846816,0.010327022,0.228915663
4.05,1.398716881,0.280943026,0.039292731,0.013752456,0.003929273,0.05108055,0.013752456,0.078585462,0.017681729,0.111984283
3.8,1.335001067,0.254545455,0.038383838,0,0.032323232,0.012121212,0.002020202,0.098989899,0.012121212,0.131313131
4.58,1.521698998,0.256578947,0.050986842,0.004934211,0.032894737,0.024671053,0.009868421,0.085526316,0.001644737,0.131578947
3.48,1.247032294,0.244532803,0.039761431,0.003976143,0.033797217,0.029821074,0.005964215,0.11332008,0.001988072,0.212723658
3.28,1.187843422,0.259597806,0.056672761,0.005484461,0.027422303,0.031078611,0.007312614,0.085923218,0.010968921,0.255941499
4.13,1.418277407,0.260147601,0.053505535,0.009225092,0.018450185,0.016605166,0.016605166,0.10701107,0.003690037,0.153136531
3.04,1.111857515,0.219827586,0.051724138,0.00862069,0.040948276,0,0.002155172,0.118534483,0.006465517,0.146551724
4.39,1.479329227,0.307060755,0.0591133,0.004926108,0.008210181,0.022988506,0.004926108,0.082101806,0.003284072,0.11001642
4.12,1.415853163,0.292543021,0.055449331,0,0.022944551,0.022944551,0.015296367,0.07456979,0.017208413,0.143403442
3.6,1.280933845,0.27549195,0.037567084,0.005366726,0.030411449,0.016100179,0.003577818,0.093023256,0.012522361,0.11627907
6.19,1.822935087,0.299516908,0.046698873,0.009661836,0.011272142,0.040257649,0.004830918,0.09178744,0.004830918,0.123993559
4.25,1.446918983,0.273921201,0.063789869,0.003752345,0.022514071,0.013133208,0.009380863,0.105065666,0.016885553,0.133208255
5.4,1.686398954,0.263261297,0.04518664,0,0.033398821,0.015717092,0,0.111984283,0.021611002,0.110019646
5.17,1.642872689,0.270606532,0.054432348,0.00311042,0.00155521,0.035769829,0.035769829,0.136858476,0.034214619,0.129082426
4.78,1.564440547,0.295145631,0.07184466,0.001941748,0.021359223,0.023300971,0.00776699,0.102912621,0.00776699,0.157281553
3.68,1.302912752,0.255905512,0.053149606,0.001968504,0.033464567,0,0,0.127952756,0.015748031,0.163385827
5.22,1.652497402,0.279588336,0.04974271,0.006861063,0.039451115,0.012006861,0.005145798,0.090909091,0.005145798,0.12864494
5.78,1.754403683,0.253623188,0.05615942,0,0.052536232,0.012681159,0.005434783,0.106884058,0.027173913,0.157608696
6.93,1.935859813,0.257142857,0.050420168,0.001680672,0.05210084,0.003361345,0.001680672,0.124369748,0.006722689,0.198319328
