war,ln_war,rbi_plate,ln_rbi_plate,singles_plate,doubles_plate,triples_plate,homeruns_plate,stolen_plate,caught_plate,bb_plate,hp_plate,strikeouts_plate
0.84,-0.174353387,0.065359477,-2.727852828,0.156862745,0.026143791,0,0.004357298,0.013071895,0.006535948,0.135076253,0.006535948,0.159041394
1.01,0.009950331,0.085903084,-2.454535552,0.165198238,0.052863436,0,0.00660793,0.035242291,0.00660793,0.068281938,0.013215859,0.246696035
1.38,0.322083499,0.086206897,-2.451005098,0.206896552,0.021072797,0.001915709,0.003831418,0.049808429,0.003831418,0.088122605,0.011494253,0.139846743
1.26,0.231111721,0.096033403,-2.343059201,0.208768267,0.020876827,0.012526096,0.006263048,0.010438413,0.010438413,0.06263048,0.010438413,0.175365344
1.96,0.672944473,0.113924051,-2.172223275,0.154008439,0.018987342,0.004219409,0.021097046,0.03164557,0.006329114,0.092827004,0.03164557,0.223628692
2.03,0.708035793,0.059642147,-2.819392788,0.188866799,0.03777336,0.015904573,0.003976143,0.041749503,0.003976143,0.057654076,0.005964215,0.099403579
1.55,0.438254931,0.101871102,-2.284046972,0.176715177,0.045738046,0.004158004,0.01039501,0.01039501,0.002079002,0.068607069,0.012474012,0.174636175
1.85,0.615185639,0.111524164,-2.193513998,0.150557621,0.035315985,0.003717472,0.022304833,0.00929368,0.007434944,0.096654275,0.011152416,0.165427509
1.92,0.652325186,0.105734767,-2.246821518,0.207885305,0.025089606,0.003584229,0.010752688,0.046594982,0.021505376,0.080645161,0.005376344,0.132616487
2.29,0.828551818,0.109375,-2.212972934,0.189453125,0.037109375,0.001953125,0.005859375,0.009765625,0.01171875,0.107421875,0.005859375,0.1328125
1.66,0.506817602,0.128820961,-2.04933174,0.174672489,0.03930131,0.013100437,0.015283843,0.028384279,0.013100437,0.058951965,0.013100437,0.237991266
0.83,-0.186329578,0.095041322,-2.35344351,0.132231405,0.030991736,0,0.020661157,0.006198347,0.002066116,0.148760331,0.010330579,0.20661157
2.08,0.732367894,0.101052632,-2.292113793,0.176842105,0.046315789,0.002105263,0.014736842,0.018947368,0.006315789,0.073684211,0.012631579,0.054736842
1.62,0.482426149,0.131799163,-2.026476006,0.117154812,0.050209205,0,0.041841004,0,0,0.089958159,0.010460251,0.19665272
2.8,1.029619417,0.088846881,-2.42084083,0.177693762,0.035916824,0,0.017013233,0.007561437,0.001890359,0.109640832,0.001890359,0.105860113
1.88,0.631271777,0.091517857,-2.391221166,0.205357143,0.044642857,0.006696429,0.006696429,0.024553571,0.008928571,0.080357143,0.006696429,0.107142857
3.69,1.305626458,0.102564103,-2.277267285,0.218934911,0.035502959,0.007889546,0.00591716,0.059171598,0.015779093,0.078895464,0.003944773,0.110453649
2.44,0.891998039,0.132231405,-2.023201823,0.188429752,0.046280992,0.001652893,0.026446281,0.009917355,0.00661157,0.069421488,0.00661157,0.114049587
3.89,1.358409158,0.056603774,-2.871679625,0.19897084,0.024013722,0.018867925,0.003430532,0.066895369,0.013722127,0.109777015,0.012006861,0.10806175
2.59,0.951657876,0.101694915,-2.285777975,0.25,0.033898305,0,0,0.006355932,0.002118644,0.080508475,0.01059322,0.055084746
1.69,0.524728529,0.158273381,-1.84343148,0.20323741,0.039568345,0.003597122,0.010791367,0.003597122,0.001798561,0.104316547,0.001798561,0.095323741
3.35,1.208960346,0.140086207,-1.965497282,0.183189655,0.047413793,0,0.023706897,0.002155172,0.002155172,0.090517241,0.004310345,0.150862069
3.41,1.226712291,0.155925156,-1.858379157,0.133056133,0.035343035,0.002079002,0.041580042,0,0.002079002,0.101871102,0.014553015,0.187110187
2.64,0.970778917,0.140939597,-1.959423868,0.162751678,0.02852349,0,0.038590604,0,0,0.087248322,0.033557047,0.17114094
2.85,1.047318994,0.127530364,-2.059400791,0.192307692,0.04048583,0.002024291,0.016194332,0.006072874,0.006072874,0.099190283,0.020242915,0.107287449
3.18,1.156881197,0.107221007,-2.232863093,0.188183807,0.056892779,0.004376368,0.013129103,0.006564551,0.006564551,0.098468271,0.002188184,0.140043764
3.89,1.358409158,0.123505976,-2.091465735,0.155378486,0.047808765,0.005976096,0.015936255,0.03187251,0.013944223,0.12749004,0.015936255,0.163346614
