war,batting_average,batdirratio_left,batdirratio_center,batdirratio_right,batdirratio_pull,batdirratio_push,bat_in_pitch,bat_at_first,swing_in_chance_ratio,ln_war,ln_batting_average,ln_batdir_left,ln_batdir_center,ln_batdir_right,ln_batdir_pull,ln_batdir_push,ln_bat_in_pitch,ln_bat_at_first,ln_swing_in_chance_ratio
5.17,0.332,0.327,0.27,0.404,0.397,0.333,0.4,0.236,0.09,1.642872689,-1.10262031,4.9698133,4.779123493,5.18178355,5.164785974,4.990432587,-0.916290732,-1.443923474,-2.407945609
6.19,0.335,0.263,0.257,0.48,0.48,0.263,0.457,0.279,0.076103501,1.822935087,-1.093624747,4.836281907,4.812184355,5.438079309,5.438079309,4.836281907,-0.783071888,-1.276543497,-2.575661013
4.39,0.339,0.353,0.225,0.422,0.422,0.353,0.452,0.223,0.079699248,1.479329227,-1.081755172,5.141663557,4.691347882,5.318119994,5.318119994,5.141663557,-0.794073099,-1.500583508,-2.529495127
4.58,0.285,0.302,0.251,0.448,0.448,0.302,0.499,0.324,0.073783359,1.521698998,-1.255266099,4.94875989,4.762173935,5.342334252,5.342334252,4.94875989,-0.695149183,-1.127011763,-2.606622054
2.44,0.285,0.463,0.234,0.303,0.463,0.303,0.483,0.243,0.099145299,0.891998039,-1.255266099,5.420534999,4.736198448,4.997212274,5.420534999,4.997212274,-0.727738625,-1.414693836,-2.311168837
2.64,0.263,0.542,0.224,0.234,0.542,0.234,0.477,0.181,0.074600355,0.970778917,-1.335601247,5.424950017,4.543294782,4.584967479,5.424950017,4.584967479,-0.740238788,-1.709258248,-2.59561001
6.93,0.298,0.465,0.232,0.303,0.465,0.303,0.447,0.202,0.083687943,1.935859813,-1.210661792,5.214935758,4.521788577,4.787491743,5.214935758,4.787491743,-0.805196684,-1.599487582,-2.480660359
3.89,0.287,0.476,0.247,0.276,0.476,0.276,0.456,0.223,0.097733711,1.358409158,-1.248273063,5.356586275,4.700480366,4.812184355,5.356586275,4.812184355,-0.785262469,-1.500583508,-2.325508733
5.22,0.313,0.322,0.264,0.414,0.414,0.322,0.396,0.166,0.060832444,1.652497402,-1.161552088,4.941642423,4.744932128,5.192956851,5.192956851,4.941642423,-0.926341068,-1.795767491,-2.799632014
2.65,0.281,0.591,0.202,0.207,0.591,0.207,0.519,0.293,0.09375,0.97455964,-1.26940061,5.442417711,4.369447852,4.394449155,5.442417711,4.394449155,-0.655851396,-1.22758267,-2.367123614
3.6,0.312,0.465,0.234,0.301,0.465,0.301,0.447,0.242,0.089285714,1.280933845,-1.164752091,5.293304825,4.605170186,4.859812404,5.293304825,4.859812404,-0.805196684,-1.418817553,-2.415913778
1.92,0.285,0.384,0.192,0.423,0.423,0.384,0.477,0.323,0.067307692,0.652325186,-1.255266099,5.062595033,4.369447852,5.159055299,5.159055299,5.062595033,-0.740238788,-1.130102956,-2.69848075
1.69,0.293,0.324,0.228,0.448,0.448,0.324,0.448,0.239,0.068309071,0.524728529,-1.22758267,4.94875989,4.59511985,5.272999559,5.272999559,4.94875989,-0.802962047,-1.431291727,-2.683712717
5.78,0.297,0.557,0.224,0.219,0.557,0.219,0.491,0.386,0.093059937,1.754403683,-1.21402314,5.365976015,4.454347296,4.430816799,5.365976015,4.430816799,-0.711311151,-0.95191791,-2.374511511
3.28,0.289,0.427,0.239,0.333,0.427,0.333,0.486,0.327,0.100558659,1.187843422,-1.241328591,5.010635294,4.430816799,4.762173935,5.010635294,4.762173935,-0.721546655,-1.117795108,-2.297014048
4.13,0.301,0.293,0.306,0.402,0.399,0.295,0.429,0.325,0.094029851,1.418277407,-1.200645014,4.727387819,4.770684624,5.043425117,5.036952602,4.736198448,-0.84629836,-1.123930097,-2.364142986
1.85,0.249,0.504,0.23,0.266,0.504,0.266,0.414,0.175,0.059308072,0.615185639,-1.390302383,5.225746674,4.442651256,4.584967479,5.225746674,4.584967479,-0.881889305,-1.742969305,-2.825009853
2.98,0.294,0.412,0.243,0.345,0.345,0.412,0.419,0.258,0.047550432,1.091923301,-1.224175512,5.141663557,4.615120517,4.96284463,4.96284463,5.141663557,-0.869884359,-1.354795694,-3.045964399
4.25,0.319,0.47,0.246,0.284,0.47,0.284,0.465,0.357,0.089347079,1.446918983,-1.142564176,5.204006687,4.553876892,4.700480366,5.204006687,4.700480366,-0.765717873,-1.030019497,-2.415226729
2.8,0.266,0.31,0.223,0.467,0.464,0.313,0.386,0.227,0.068471338,1.029619417,-1.32425897,4.828313737,4.49980967,5.236441963,5.231108617,4.836281907,-0.95191791,-1.482805262,-2.681340051
4.12,0.323,0.462,0.236,0.302,0.462,0.302,0.53,0.405,0.124352332,1.415853163,-1.130102956,5.214935758,4.543294782,4.787491743,5.214935758,4.787491743,-0.634878272,-0.903868212,-2.084636359
1.38,0.268,0.369,0.217,0.411,0.411,0.369,0.436,0.299,0.05794702,0.322083499,-1.316768298,4.94875989,4.418840608,5.056245805,5.056245805,4.94875989,-0.830113036,-1.207311706,-2.848226136
4.78,0.336,0.269,0.263,0.468,0.468,0.269,0.46,0.272,0.071180556,1.564440547,-1.090644119,4.605170186,4.584967479,5.159055299,5.159055299,4.605170186,-0.776528789,-1.301953213,-2.642535594
2.29,0.271,0.443,0.227,0.331,0.443,0.331,0.374,0.107,0.044660194,0.828551818,-1.305636458,5.111987788,4.442651256,4.820281566,5.111987788,4.820281566,-0.983499482,-2.234926445,-3.108672685
4.05,0.316,0.453,0.228,0.319,0.453,0.319,0.442,0.32,0.091338583,1.398716881,-1.152013065,5.153291594,4.465908119,4.804021045,5.153291594,4.804021045,-0.816445397,-1.139434283,-2.393181988
5.4,0.306,0.296,0.256,0.448,0.446,0.299,0.46,0.2,0.081871345,1.686398954,-1.184170177,4.762173935,4.615120517,5.176149733,5.170483995,4.770684624,-0.776528789,-1.609437912,-2.502606227
3.68,0.302,0.273,0.267,0.46,0.46,0.273,0.439,0.282,0.0608,1.302912752,-1.197328262,4.553876892,4.532599493,5.075173815,5.075173815,4.553876892,-0.823255866,-1.265848208,-2.80016549
3.69,0.301,0.455,0.207,0.338,0.455,0.338,0.428,0.288,0.040860215,1.305626458,-1.200645014,5.192956851,4.406719247,4.8978398,5.192956851,4.8978398,-0.848632083,-1.244794799,-3.197598426
2.03,0.268,0.271,0.226,0.503,0.503,0.271,0.462,0.282,0.096671949,0.708035793,-1.316768298,4.48863637,4.304065093,5.105945474,5.105945474,4.48863637,-0.772190388,-1.265848208,-2.336431998
3.48,0.283,0.33,0.245,0.425,0.425,0.33,0.464,0.268,0.093189964,1.247032294,-1.262308381,4.912654886,4.615120517,5.164785974,5.164785974,4.912654886,-0.767870727,-1.316768298,-2.373115244
3.89,0.268,0.279,0.238,0.482,0.479,0.282,0.43,0.293,0.116584565,1.358409158,-1.316768298,4.553876892,4.394449155,5.099866428,5.093750201,4.564348191,-0.84397007,-1.22758267,-2.149138391
3.8,0.29,0.436,0.29,0.274,0.436,0.274,0.436,0.305,0.06836248,1.335001067,-1.237874356,5.081404365,4.672828834,4.615120517,5.081404365,4.615120517,-0.830113036,-1.187443502,-2.682931141
2.85,0.292,0.454,0.191,0.355,0.454,0.355,0.401,0.091,0.058189655,1.047318994,-1.231001477,5.129898715,4.262679877,4.882801923,5.129898715,4.882801923,-0.913793852,-2.396895772,-2.844047686
2.39,0.283,0.508,0.218,0.274,0.508,0.274,0.486,0.254,0.086419753,0.871293366,-1.262308381,5.081404365,4.234106505,4.465908119,5.081404365,4.465908119,-0.721546655,-1.370421012,-2.448539006
