batting_average,swing_in_chance_ratio,bat_in_pitch,bat_at_first,batdir_pull_ratio,batdir_push_ratio,
0.332,0.09,0.4,0.236,0.065543071,0.05505618,
0.335,0.076103501,0.457,0.279,0.097955707,0.053662692,
0.339,0.079699248,0.452,0.223,0.089238845,0.07480315,
0.285,0.073783359,0.499,0.324,0.096047794,0.064797794,
0.285,0.099145299,0.483,0.243,0.103149247,0.067549064,
0.263,0.074600355,0.477,0.181,0.1,0.043171806,
0.298,0.083687943,0.447,0.202,0.074373484,0.048504446,
0.287,0.097733711,0.456,0.223,0.095581605,0.055455365,
0.313,0.060832444,0.396,0.166,0.073111292,0.056864338,
0.281,0.09375,0.519,0.293,0.09939759,0.034853701,
0.312,0.089285714,0.447,0.242,0.094312796,0.061137441,
0.285,0.067307692,0.477,0.323,0.079706825,0.072377462,
0.293,0.068309071,0.448,0.239,0.090697674,0.065581395,
0.297,0.093059937,0.491,0.386,0.1,0.039252336,
0.289,0.100558659,0.486,0.327,0.067996374,0.053037171,
0.301,0.094029851,0.429,0.325,0.073124406,0.054131054,
0.249,0.059308072,0.414,0.175,0.085991678,0.045307443,
0.294,0.047550432,0.419,0.258,0.070132418,0.08386464,
0.319,0.089347079,0.465,0.357,0.089522873,0.054107231,
0.266,0.068471338,0.386,0.227,0.087752229,0.05912717,
0.323,0.124352332,0.53,0.405,0.097820308,0.063795853,
0.268,0.05794702,0.436,0.299,0.078934138,0.070889894,
0.336,0.071180556,0.46,0.272,0.083015267,0.047709924,
0.271,0.044660194,0.374,0.107,0.077137546,0.057620818,
0.316,0.091338583,0.442,0.32,0.091244726,0.064345992,
0.306,0.081871345,0.46,0.2,0.091144485,0.061108234,
0.302,0.0608,0.439,0.282,0.078239609,0.046454768,
0.301,0.040860215,0.428,0.288,0.089285714,0.066468254,
0.268,0.096671949,0.462,0.282,0.079479769,0.042870906,
0.283,0.093189964,0.464,0.268,0.095315904,0.074074074,
0.268,0.116584565,0.43,0.293,0.080493827,0.047407407,
0.29,0.06836248,0.436,0.305,0.089444444,0.056111111,
0.292,0.058189655,0.401,0.091,0.086356668,0.067450179,
0.283,0.086419753,0.486,0.254,0.084736842,0.045789474,
0.22,0.081395349,0.442,0.353,0.070841889,0.054928131,
0.266,0.115720524,0.482,0.424,0.10298103,0.040108401,
0.249,0.085436893,0.487,0.339,0.089848308,0.060676779,
0.275,0.079522863,0.443,0.18,0.089400428,0.05888651,
0.235,0.089153046,0.449,0.163,0.087573386,0.043052838,
0.266,0.064285714,0.42,0.116,0.113546936,0.061270377,
0.233,0.110320285,0.464,0.26,0.062915601,0.057289003,
0.321,0.088846881,0.421,0.248,0.093660765,0.085665334,
0.288,0.064080944,0.433,0.302,0.094466182,0.047512577,
0.253,0.088186356,0.462,0.321,0.09252483,0.039728176,
0.251,0.104201681,0.431,0.26,0.085024685,0.044980801,
0.222,0.058208955,0.348,0.111,0.084183673,0.046428571,
0.266,0.096566524,0.465,0.269,0.090707965,0.04369469,
0.295,0.084775087,0.434,0.214,0.087422448,0.062041737,
0.255,0.04797048,0.466,0.238,0.071587125,0.049389567,
0.297,0.071428571,0.463,0.33,0.087837838,0.066953317,
